; Mercadian Masques

Aerial Caravan 0.6
Alabaster Wall 0.7
Alley Grifters 0.5
Ancestral Mask 0.4
Armistice 0.5
Arms Dealer 0.7
Arrest  0.8
Assembly Hall 0.3
Ballista Squad 0.8
Afterlife 0.9
Balloon Peddler 0.5
Barbed Wire 0.3
Bargaining Table 0.8
Battle Rampart 0.6
Battle Squadron 0.9
Bifurcate 0.6
Black Market 0.3
Blaster Mage 0.6
Blockade Runner 0.7
Blood Hound 0.4
Blood Oath 0.8
Boa Constrictor 0.6
Bog Smugglers 0.5
Bog Witch 0.4
Brainstorm 0.6
Brawl 0.7
Briar Patch 0.6
Bribery 0.8
Buoyancy 0.6
Cackling Witch 0.5
Caller of the Hunt 0.6
Cateran Brute 0.6
Cateran Enforcer 0.6
Cateran Kidnappers 0.8
Cateran Overlord 0.8
Cateran Persuader 0.5
Cateran Slaver 0.7
Cateran Summons 0.6
Caustic Wasps 0.5
Cave Sense 0.4
Cave-In 1.0
Cavern Crawler 0.4
Ceremonial Guard 0.5
Chambered Nautilus 0.6
Chameleon Spirit 0.8
Charisma 0.6
Charm Peddler 0.6
Charmed Griffin 0.7
Cho-Arrim Alchemist 0.4
Cho-Arrim Bruiser 0.4
Cho-Arrim Legate 0.4
Cho-Manno, Revolutionary 0.9
Cho-Manno's Blessing 0.8
Cinder Elemental 0.8
Clear the Land 0.5
Close Quarters 0.4
Cloud Sprite 0.4
Coastal Piracy 0.9
Collective Unconscious 0.6
Common Cause 0.5
Conspiracy 0.4
Cornered Market 0.3
Corrupt Official 0.5
Counterspell 0.6
Cowardice 0.4
Crackdown 0.7
Crag Saurian 0.4
Crash 0.4
Credit Voucher 0.5
Crenellated Wall 0.7
Crooked Scales 0.5
Crossbow Infantry 0.5
Crumbling Sanctuary 0.6
Customs Depot 0.6
Dark Ritual 0.6
Darting Merfolk 0.5
Dawnstrider 0.4
Deadly Insect 0.5
Deathgazer 0.55
Deepwood Drummer 0.6
Deepwood Elder 0.6
Deepwood Ghoul 0.7
Deepwood Legate 0.4
Deepwood Tantiv 0.4
Deepwood Wolverine 0.5
Dehydration 0.6
Delraich 1.0
Desert Twister 0.5
Devout Witness 0.6
Diplomatic Escort 0.5
Diplomatic Immunity 0.5
Disenchant 0.5
Distorting Lens 0.5
Drake Hatchling 0.6
Dust Bowl 0.4
Embargo 0.4
Energy Flux 0.2
Enslaved Horror 0.5
Erithizon 0.4
Extortion 0.55
Extravagant Spirit 0.8
Eye of Ramos 0.3
False Demise 0.5
Ferocity 0.5
Flailing Manticore 0.5
Flailing Ogre 0.4
Flailing Soldier 0.4
Flaming Sword 0.6
Food Chain 0.6
Forced March 1.1
Foster 0.6
Fountain of Cho 0.4
Fountain Watch 0.5
Fresh Volunteers 0.6
Furious Assault 0.5
Game Preserve 0.3
General's Regalia 0.4
Gerrard's Irregulars 0.5
Ghoul's Feast 0.5
Giant Caterpillar 0.7
Glowing Anemone 0.4
Groundskeeper 0.5
Gush 0.5
Hammer Mage 0.4
Haunted Crossroads 0.8
Heart of Ramos 0.3
Henge Guardian 0.5
Henge of Ramos 0.3
Hickory Woodlot 0.3
High Market 0.4
High Seas 0.4
Highway Robber 0.5
Hired Giant 0.6
Honor the Fallen 0.6
Hoodwink 0.3
Horn of Plenty 0.3
Horn of Ramos 0.55
Horned Troll 0.7
Howling Wolf 0.4
Hunted Wumpus 0.6
Ignoble Soldier 0.4
Indentured Djinn 0.7
Instigator 0.5
Insubordination 0.4
Intimidation 0.5
Invigorate 0.6
Inviolability 0.7
Iron Lance 0.5
Ivory Mask 0.5
Jeweled Torque 0.3
Jhovall Queen 0.8
Jhovall Rider 0.7
Karn's Touch 0.4
Kris Mage 0.6
Kyren Archive 0.6
Kyren Glider 0.4
Kyren Legate 0.4
Kyren Negotiations 0.8
Kyren Sniper 0.4
Kyren Toy 0.4
Land Grant 0.6
Larceny 0.5
Last Breath 0.8
Lava Runner 0.7
Ley Line 0.4
Liability 0.3
Lightning Hounds 0.6
Lithophage 0.6
Lumbering Satyr 0.6
Lunge 0.7
Lure 0.5
Maggot Therapy 0.7
Magistrate's Scepter 0.4
Magistrate's Veto 0.5
Megatherium 0.7
Mercadian Atlas 0.6
Mercadian Bazaar 0.3
Mercadian Lift 0.5
Mercadia's Downfall 0.4
Midnight Ritual 0.7
Misdirection 0.7
Misshapen Fiend 0.5
Misstep 0.4
Molting Harpy 0.6
Moment of Silence 0.4
Monkey Cage 0.4
Moonlit Wake 0.3
Muzzle 0.6
Natural Affinity 0.7
Nether Spirit 0.6
Nightwind Glider 0.7
Noble Purpose 0.5
Notorious Assassin 0.8
Ogre Taskmaster 0.5
Orim's Cure 0.5
Overtaker 0.8
Panacea 0.6
Pangosaur 0.5
Peat Bog 0.5
Pious Warrior 0.6
Port Inspector 0.5
Power Matrix 1.0
Pretender's Claim 0.4
Primeval Shambler 0.7
Puffer Extract 0.4
Pulverize 0.3
Puppet's Verdict 0.6
Putrefaction 0.4
Quagmire Lamprey 0.5
Rain of Tears 0.3
Ramosian Captain 0.8
Ramosian Commander 0.8
Ramosian Lieutenant 0.8
Ramosian Rally 0.6
Ramosian Sergeant 0.6+3*CountBy(Name,"Ramosian Lieutenant",0.05)+3*CountBy(Name,"Defiant Falcon",0.05)+CountBy(Name,"Steadfast Guard",0.05)+CountBy(Name,"Fresh Volunteers",0.05)
Ramosian Sky Marshal 0.9
Rampart Crawler 0.5
Rappelling Scouts 0.5
Remote Farm 0.4
Renounce 0.3
Revered Elder 0.4
Reverent Mantra 0.8
Revive 0.7
Righteous Aura 0.4
Righteous Indignation 0.5
Rishadan Airship 0.8
Rishadan Brigand 0.6
Rishadan Cutpurse 0.4
Rishadan Footpad 0.5
Rishadan Pawnshop 0.4
Rishadan Port 0.5
Robber Fly 0.4
Rock Badger 0.6
Rouse 0.5
Rushwood Dryad 0.6
Rushwood Elemental 1.0
Rushwood Grove 0.5
Rushwood Herbalist 0.6
Rushwood Legate 0.5
Saber Ants 0.5
Sacred Prey 0.3
Sailmonger 0.5
Sand Squid 0.7
Sandstone Needle 0.3
Saprazzan Bailiff 0.4
Saprazzan Breaker 0.5
Saprazzan Cove 0.3
Saprazzan Heir 0.6
Saprazzan Legate 0.4
Saprazzan Outrigger 0.6
Saprazzan Raider 0.4
Saprazzan Skerry 0.3
Scandalmonger 0.6
Security Detail 0.4
Seismic Mage 0.5
Sever Soul 0.7
Shock Troops 0.7
Shoving Match 0.4
Silent Assassin 0.7
Silverglade Elemental 0.7
Silverglade Pathfinder 0.6
Sizzle 0.5
Skulking Fugitive 0.4
Skull of Ramos 0.3
Snake Pit 0.4
Snorting Gahr 0.7
Snuff Out 0.9
Soothing Balm 0.4
Soothsaying 0.5
Soul Channeling 0.7
Specter's Wail 0.5
Spidersilk Armor 0.7
Spiritual Focus 0.4
Spontaneous Generation 0.5
Squall 0.4
Squallmonger 0.7
Squee, Goblin Nabob 0.9
Squeeze 0.4
Stamina 0.4
Statecraft 0.5
Steadfast Guard 0.6
Stinging Barrier 0.6
Stone Rain  0.3
Story Circle 0.7
Strongarm Thug 0.4
Subterranean Hangar 0.5
Sustenance 0.5
Task Force 0.6
Tectonic Break 0.4
Territorial Dispute 0.3
Thermal Glider 0.6
Thieves' Auction 0.6
Thrashing Wumpus 1.0
Thunderclap 0.7
Thwart 0.5
Tidal Bore 0.3
Tidal Kraken 0.8
Tiger Claws 0.7
Timid Drake 0.4
Tonic Peddler 0.3
Tooth of Ramos 0.3
Tower of the Magistrate 0.3
Toymaker 0.4
Trade Routes 0.6
Tranquility 0.6
Trap Runner 0.6
Tremor 0.5
Two-Headed Dragon 1.0
Undertaker 0.7
Unmask 0.6
Unnatural Hunger 0.5
Uphill Battle 0.5
Vendetta 0.7
Venomous Breath 0.6
Venomous Dragonfly 0.5
Vernal Equinox 0.4
Vine Dryad 0.5
Vine Trellis 0.6
Volcanic Wind 0.9
Wall of Distortion 0.5
War Cadence 0.7
War Tax 0.7
Warmonger 0.5
Warpath 0.6
Waterfront Bouncer 0.7
Wave of Reckoning 0.8
Wild Jhovall 0.6
Wishmonger 0.5
